left_border_x,left_border_y,right_border_x,right_border_y
17.789911060392292,9.602936856769432,19.184866590588435,14.404405285154148
17.48689887164855,9.68583161128631,18.73034830747282,14.528747416929466
17.18143241396542,9.759167619387474,18.272148620948133,14.63875142908121
16.873813145857245,9.822872507286887,17.81071971878587,14.73430876093033
16.564344650402305,9.876883405951379,17.346516975603457,14.815325108927066
16.25333233564304,9.921147013144779,16.87999850346456,14.881720519717168
15.941083133185142,9.9556196460308,16.411624699777715,14.9334294690462
15.627905195293131,9.980267284282716,15.941857792939697,14.970400926424073
15.314107590781282,9.995065603657316,15.471161386171923,14.992598405485975
15.0,10.0,15.0,15.0
14.7,10.0,14.7,15.0
14.4,10.0,14.4,15.0
14.1,10.0,14.1,15.0
13.8,10.0,13.8,15.0
13.5,10.0,13.5,15.0
13.2,10.0,13.2,15.0
12.9,10.0,12.9,15.0
12.6,10.0,12.6,15.0
12.3,10.0,12.3,15.0
12.0,10.0,12.0,15.0
11.7,10.0,11.7,15.0
11.4,10.0,11.4,15.0
11.1,10.0,11.1,15.0
10.8,10.0,10.8,15.0
10.5,10.0,10.5,15.0
10.2,10.0,10.2,15.0
9.9,10.0,9.9,15.0
9.600000000000001,10.0,9.600000000000001,15.0
9.3,10.0,9.3,15.0
9.0,10.0,9.0,15.0
8.7,10.0,8.7,15.0
8.4,10.0,8.4,15.0
8.100000000000001,10.0,8.100000000000001,15.0
7.800000000000001,10.0,7.800000000000001,15.0
7.5,10.0,7.5,15.0
7.2,10.0,7.2,15.0
6.9,10.0,6.9,15.0
6.6,10.0,6.6,15.0
6.300000000000001,10.0,6.300000000000001,15.0
6.0,10.0,6.0,15.0
5.700000000000001,10.0,5.700000000000001,15.0
5.4,10.0,5.4,15.0
5.1,10.0,5.1,15.0
4.800000000000001,10.0,4.800000000000001,15.0
4.5,10.0,4.5,15.0
4.200000000000001,10.0,4.200000000000001,15.0
3.9000000000000004,10.0,3.9000000000000004,15.0
3.5999999999999996,10.0,3.5999999999999996,15.0
3.3000000000000007,10.0,3.3000000000000007,15.0
3.0,10.0,3.0,15.0
2.700000000000001,10.0,2.700000000000001,15.0
2.4000000000000004,10.0,2.4000000000000004,15.0
2.0999999999999996,10.0,2.0999999999999996,15.0
1.8000000000000007,10.0,1.8000000000000007,15.0
1.5,10.0,1.5,15.0
1.200000000000001,10.0,1.200000000000001,15.0
0.9000000000000004,10.0,0.9000000000000004,15.0
0.6000000000000014,10.0,0.6000000000000014,15.0
0.3000000000000007,10.0,0.3000000000000007,15.0
0.0,10.0,0.0,15.0
-0.29999999999999893,10.0,-0.29999999999999893,15.0
-0.5999999999999996,10.0,-0.5999999999999996,15.0
-0.8999999999999986,10.0,-0.8999999999999986,15.0
-1.1999999999999993,10.0,-1.1999999999999993,15.0
-1.5,10.0,-1.5,15.0
-1.8000000000000007,10.0,-1.8000000000000007,15.0
-2.099999999999998,10.0,-2.099999999999998,15.0
-2.3999999999999986,10.0,-2.3999999999999986,15.0
-2.6999999999999993,10.0,-2.6999999999999993,15.0
-3.0,10.0,-3.0,15.0
-3.3000000000000007,10.0,-3.3000000000000007,15.0
-3.599999999999998,10.0,-3.599999999999998,15.0
-3.8999999999999986,10.0,-3.8999999999999986,15.0
-4.199999999999999,10.0,-4.199999999999999,15.0
-4.5,10.0,-4.5,15.0
-4.800000000000001,10.0,-4.800000000000001,15.0
-5.099999999999998,10.0,-5.099999999999998,15.0
-5.399999999999999,10.0,-5.399999999999999,15.0
-5.699999999999999,10.0,-5.699999999999999,15.0
-6.0,10.0,-6.0,15.0
-6.300000000000001,10.0,-6.300000000000001,15.0
-6.599999999999998,10.0,-6.599999999999998,15.0
-6.899999999999999,10.0,-6.899999999999999,15.0
-7.199999999999999,10.0,-7.199999999999999,15.0
-7.5,10.0,-7.5,15.0
